"disfavoured.word","response.lower","entrained","interlocutor.SES","session.order","set","group","participantID","stimuli.order","f","experiment"
"serpent","snake",0,"H",2,1,"no prime","49c1514cb90240b7ff201e40f5d3490104b1c1b8",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","19eadbbab91c09803dd9272f8467bf9d103d53a3",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","0018b72973ef168e5fdf6cf941b8456101e75b03",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","961d032cab8e25aad6c1ef0eb607f0802b163bd4",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","ed99170b4fd94dfe6ee91fe760fc51213c5f5811",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","eb970da0366e3e63a6147d4072775fadb34b839f",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","72bc411c97e58142a318d22852ff77b1f09dc404",1,0,"experiment 1"
"serpent","serpent",1,"H",2,1,"no prime","9dcf99e506f9a86c93657edf0bedf08028f2e3e6",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","880e21f7f116351d56b78a845471e32c98d9d05a",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","1bc69aaa3513519b2e5c3bac6be37c1700a00a1f",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","967e18ab2e452e29ba50dc6bad172f88ac584afd",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","be3a4bf0acd75184a416f4fbfc8a93b3a75e91a2",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","978d7e7d6ca7adc5358da74e5c52c7254b18d121",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","574394d96fb0d43e4abd2452e6854829888dd965",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","dea4be8ec19451897541bb9859796153b30e75c9",1,0,"experiment 1"
"serpent","serpent",1,"H",2,1,"no prime","013f696893e5b34fb881c09dd2ab29ced6a879d7",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","a9cdbe6553fa0cea78c8b0d60c8624a287839144",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","b8d2861612c7499ac6f6cb06f64f28ddf6077265",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","ea293119d61fcc9bc1790a1065f9f2093e683149",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","31bba11adc7cffea78ff62703ffa0f93c4c1a90a",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","7e73367a9691ae390ffc55835eeffbb63571c2b7",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","c0cb4e0def49c697883002522dc35200ce22e312",1,0,"experiment 1"
"serpent","serpant",0,"H",1,1,"no prime","75d206003072129bb621d32ee9f80fb2a500f5c1",1,0,"experiment 1"
"serpent","snek",0,"H",1,1,"no prime","2f538c77b2b7d66afe1f0b736c581a799f941453",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","030e9ae748db4c8ca36f5bef71119d70ebbfaf6e",1,0,"experiment 1"
"serpent","serpant",0,"H",1,1,"no prime","e45e7040780d41503fb68b6ab75f46c67dc809b8",1,0,"experiment 1"
"serpent","serpent",1,"H",1,1,"no prime","aab27406d502d7d187df42d21c8524118da03c5e",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","cd87264fa85ab6c20fe645f59b7ee0f69bc49ea3",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","187281057f5337f83c5b54c8a152ef2715125b80",1,0,"experiment 1"
"serpent","python",0,"H",1,1,"no prime","0b57a415aa160996fcc056c98879858878f6bbcd",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","cb7e8e1be27f97e8962a816054b100d3e512742a",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","18c312bad1d17546c51892cbc3cfdc9f8e3e8ee2",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","d50f25e63c690cde38f8472327283516d9677374",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","a6fde1e28954281a516ffcdeb22e77fc73d63a08",1,0,"experiment 1"
"serpent","serpent",1,"H",1,1,"no prime","4db19d7da6b1ef9356d5067a5f3ffb2c3f7340e5",1,0,"experiment 1"
"serpent","serpent",1,"H",1,1,"no prime","a0745682ff0707eea012ebb09d8d4c1a7741e4f0",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","0a44352e38526c9c1468c995b53fa7457e79a2ae",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","778d3a0ed98ef3f0961e0b60b9a001be318cae1b",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","c63aa73ee3400ed0c427e179ae10f56556929c1b",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","8cbba4bcc82f7bb1de2b629b8e7cbdae15135ffb",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","071419ad3b32bbfaf1d5f658bc474e4e13bdb39a",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","82ab9e040fbafe2d3a6c2bf94241e2ca21461ba2",1,0,"experiment 1"
"serpent","serpent",1,"H",1,1,"no prime","6f609a23fe7823760e10f1e56b505a4854d3a5c1",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","6076bee3e0f1edb3aae1dc925b0d91f7b4d5f54f",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","bbcd6a3f61d9581e2b77a771d0685f6daa6dca69",1,0,"experiment 1"
"serpent","serpent",1,"H",1,1,"no prime","bfcbee699799cffaede778d655bcf9dceacb3972",1,0,"experiment 1"
"serpent","snake",0,"H",1,1,"no prime","9d0f1b97cf76d001baac4edbbdf1ed55f8b90681",1,0,"experiment 1"
"serpent","serpent",1,"H",1,1,"no prime","3c2601fdd75a270a9c8cd23863f71f133feee96e",1,0,"experiment 1"
"serpent","serpent",1,"H",1,1,"no prime","f909b82cee9dd4c96f425c4ea2005052d5aa715a",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","4af7b040d7416d1ac7bcdc0b4a3acc9b7c062b71",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","e11069a37da058b42cd4d15559890ca798c9b2fc",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","cc80fbedf28bbe3b6c37ef8dd2aa83772926be91",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","824c91e3f944545111881f0fa3b972ede41916bb",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","27c2f83cd4c56ebc060aaf150ad28b6c866c017d",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","4ea64ff5ab8259d646b56b80d7373dedf15ec145",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","fc8c9c87aaf97503e650c9f5a855b78215ee47ed",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","c9b2831bdfee1d3027793ead58d1c1c455224d4c",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","e9ef2f61c247b8cb4df923e445e2335bd8d39752",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","2a6c5ceac8294aee2a8ca35cd99178307c4594cf",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","593d98827e695b7327bf6ee1ac15f892340aebf1",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","4f85324d487a42170d1d4722c7ed1cc542f86103",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","b1366cc2b41534f4110be00f586890b94a169ad9",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","646113df3939fce0e1402270ae629fc6ad23e23c",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","119cb0891c30160ef4a9b36706b73193b02187bb",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","bedc2c4881a8e0eb13a84ffa9cd6f73bbc38bf0a",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","91fdd6580b0944c1b752f34adbbf230ef9b522f0",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","23db3ac7ac437a3d59fc4219cc84fc90562b72c1",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","8fa6c60ac1c98efc113301e54b0b9be370d2e552",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","e64b83b74c419beb4aa1dadfd0468c3371ffe1fe",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","785b31cdb095bf8ca2e3bee23ae1381271560bbc",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","e2d813385d6da8487d5a6780296fe313bc08fba1",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","fad7d64f0dee2ec44e7cf184435282e7a3b83e62",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","388d9cbe24a95736a082209e85a777b462300bad",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","88035f341a0060eada46729c0f94c6701f614ccd",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","232e1752d1fec35337ba2822c198f455e32e36a1",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","141778a106365ab27938982bd036aefd6cf92aeb",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","fbd702a502d91d60708ff33251fab3ee1dec0c78",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","23b55dfe5453f6e71a416f6b4e3cb1151b5ff1fa",1,0,"experiment 1"
