label;prolific_id;response_lower;entrained;condition;gender_participant;age;sim;stimuli_order;set;order;f;experiment;group;gender_partner;randomBlock
serpent;8e3e764e9bbe52b740807d68ddaf01b16b2fde7d;snake;0;L;female;25;0.4576;1;1;2;0;experiment 1;no prime;NA;NA
serpent;c777126b491a313ba4750ad3908370d9c9f93188;snake;0;L;female;28;0.4321;1;1;2;0;experiment 1;no prime;NA;NA
serpent;0145a7fc9dd096d7419a46dbdee3e1abd569223f;snake;0;L;female;24;0.2706;1;1;2;0;experiment 1;no prime;NA;NA
serpent;1180de389df859f523fd99321c62603fe8b4cc6e;snake;0;L;female;29;0.4514;1;1;2;0;experiment 1;no prime;NA;NA
serpent;9b8ae110747fb06429f67a0ac6d23819655b2d80;snake;0;L;female;22;0.3922;1;1;2;0;experiment 1;no prime;NA;NA
serpent;6b28368167370d6391a844b3583cad1625bebef9;snake;0;L;female;21;0.2279;1;1;2;0;experiment 1;no prime;NA;NA
serpent;2adba5364d326287b977be4cfaf9fd65472a6744;snake;0;L;female;26;0.4909;1;1;2;0;experiment 1;no prime;NA;NA
serpent;8b9946fc7b5f68b0a6521b25e03dc34fec1a33ae;snake;0;L;female;30;0.2325;1;1;2;0;experiment 1;no prime;NA;NA
serpent;75ed65bb6d8f023da74c31a5d5a81195ef5d4eb3;snake;0;L;female;21;0.4778;1;1;2;0;experiment 1;no prime;NA;NA
serpent;910a16866b26c9994e04759718bc8c91fe2adab6;snake;0;L;female;24;0.4003;1;1;2;0;experiment 1;no prime;NA;NA
serpent;69f9fd1e7b5d72d0e00280f2822214a0cd38b5eb;snake;0;L;female;30;0.256;1;1;2;0;experiment 1;no prime;NA;NA
serpent;b7258b877524c800dc564b681b2b97052e656817;snake;0;L;female;30;0.4681;1;1;2;0;experiment 1;no prime;NA;NA
serpent;6727af98c8fd8985d4067d8676e40c7c1d7a3312;snake;0;L;female;22;0.3185;1;1;2;0;experiment 1;no prime;NA;NA
serpent;62e898ff2ca0ad5d68d82f1f2bfd6b09cbe2adb8;snake;0;L;female;26;0.3996;1;1;2;0;experiment 1;no prime;NA;NA
serpent;63b86bc4543b3b976238a308aedb5843086ad607;snake;0;L;female;28;0.2695;1;1;2;0;experiment 1;no prime;NA;NA
serpent;46a90e5e60bff735df36e031593fd18958359a82;snake;0;L;female;25;0.4468;1;1;2;0;experiment 1;no prime;NA;NA
serpent;fa6f610ac4141918bf967cced76e3fb94cdf82b9;snake;0;L;female;24;0.422;1;1;2;0;experiment 1;no prime;NA;NA
